transactionId,amount,currency,status,paymentMethod,orderId,timestamp,customerEmail
GW_TXN_101,552.53,USD,SUCCESS,ACH,ORD_20101,2026-08-15 21:00:00,alice.smith@acme.com
GW_TXN_102,227.04,USD,SUCCESS,CARD,ORD_20102,2026-08-15 21:00:00,charlie@peanuts.org
GW_TXN_103,583.28,USD,SUCCESS,APPLE_PAY,ORD_20103,2026-08-15 11:00:00,ian.malcolm@chaos.com
GW_TXN_104,373.09,USD,SUCCESS,CARD,ORD_20104,2026-08-15 11:00:00,alice.smith@acme.com
GW_TXN_105,216.95,USD,SUCCESS,APPLE_PAY,ORD_20105,2026-08-16 10:00:00,jroberts@cinema.org
GW_TXN_106,189.04,USD,SUCCESS,APPLE_PAY,ORD_20106,2026-08-16 21:00:00,kbacon@sixdegrees.com
GW_TXN_107,371.10,USD,SUCCESS,ACH,ORD_20107,2026-08-16 19:00:00,hannah@hogwarts.edu
GW_TXN_108,692.78,USD,SUCCESS,CARD,ORD_20108,2026-08-16 22:00:00,alice.smith@acme.com
GW_TXN_109,600.97,USD,SUCCESS,CARD,ORD_20109,2026-08-17 14:00:00,fiona@gallagher.co
GW_TXN_110,202.63,USD,SUCCESS,CARD,ORD_20110,2026-08-17 11:00:00,fiona@gallagher.co
GW_TXN_111,338.44,USD,SUCCESS,APPLE_PAY,ORD_20111,2026-08-17 15:00:00,fiona@gallagher.co
GW_TXN_112,243.23,USD,SUCCESS,ACH,ORD_20112,2026-08-17 21:00:00,alice.smith@acme.com
GW_TXN_113,467.39,USD,SUCCESS,APPLE_PAY,ORD_20113,2026-08-18 11:00:00,gmiller@apex.org
GW_TXN_114,266.87,USD,SUCCESS,ACH,ORD_20114,2026-08-18 19:00:00,kbacon@sixdegrees.com
GW_TXN_115,501.32,USD,SUCCESS,CARD,ORD_20115,2026-08-18 11:00:00,laura@tomb.org
GW_TXN_116,570.54,USD,SUCCESS,CARD,ORD_20116,2026-08-18 11:00:00,evan.wright@enterprise.com
GW_TXN_117,739.85,USD,SUCCESS,ACH,ORD_20117,2026-08-19 14:00:00,gmiller@apex.org
GW_TXN_118,549.44,USD,SUCCESS,ACH,ORD_20118,2026-08-19 12:00:00,fiona@gallagher.co
GW_TXN_119,318.10,USD,SUCCESS,APPLE_PAY,ORD_20119,2026-08-19 14:00:00,kbacon@sixdegrees.com
GW_TXN_120,797.74,USD,SUCCESS,APPLE_PAY,ORD_20120,2026-08-19 11:00:00,kbacon@sixdegrees.com
GW_TXN_121,548.86,USD,SUCCESS,CARD,ORD_20121,2026-08-20 21:00:00,ian.malcolm@chaos.com
GW_TXN_122,159.81,USD,SUCCESS,APPLE_PAY,ORD_20122,2026-08-20 14:00:00,gmiller@apex.org
GW_TXN_123,592.73,USD,SUCCESS,ACH,ORD_20123,2026-08-20 20:00:00,diana@themyscira.net
GW_TXN_124,720.35,USD,SUCCESS,CARD,ORD_20124,2026-08-20 13:00:00,alice.smith@acme.com
GW_TXN_125,689.16,USD,SUCCESS,CARD,ORD_20125,2026-08-21 14:00:00,gmiller@apex.org
GW_TXN_126,199.06,USD,SUCCESS,ACH,ORD_20126,2026-08-21 21:00:00,jroberts@cinema.org
GW_TXN_127,200.42,USD,SUCCESS,APPLE_PAY,ORD_20127,2026-08-21 16:00:00,hannah@hogwarts.edu
GW_TXN_128,403.55,USD,SUCCESS,CARD,ORD_20128,2026-08-21 12:00:00,evan.wright@enterprise.com
GW_TXN_129,639.62,USD,SUCCESS,APPLE_PAY,ORD_20129,2026-08-22 14:00:00,ian.malcolm@chaos.com
GW_TXN_130,507.28,USD,SUCCESS,ACH,ORD_20130,2026-08-22 16:00:00,jroberts@cinema.org
GW_TXN_131,205.94,USD,SUCCESS,ACH,ORD_20131,2026-08-22 18:00:00,charlie@peanuts.org
GW_TXN_132,100.00,USD,SUCCESS,CARD,ORD_20132,2026-08-22 11:00:00,alice.smith@acme.com
GW_TXN_133,771.56,USD,SUCCESS,CARD,ORD_20133,2026-08-23 10:00:00,kbacon@sixdegrees.com
GW_TXN_134,735.87,USD,SUCCESS,CARD,ORD_20134,2026-08-23 10:00:00,gmiller@apex.org
GW_TXN_135,735.27,USD,SUCCESS,CARD,ORD_20135,2026-08-23 10:00:00,hannah@hogwarts.edu
GW_TXN_136,1166.74,USD,SUCCESS,CARD,ORD_20136,2026-08-24 10:00:00,alice.smith@acme.com
GW_TXN_137,833.97,USD,SUCCESS,CARD,ORD_20137,2026-08-24 10:00:00,ian.malcolm@chaos.com
